item,year,value
운수업,1998,85.183
운수업,1997,74.909
운수업,1996,74.944
운수업,1995,73.369
운수업,1994,69.592
운수업,1993,65.282
운수업,1992,59.118
운수업,1991,54.683
운수업,1990,48.952
운수업,1989,46.224
운수업,1988,41.611
운수업,1987,40.514
운수업,1986,39.988
운수업,1985,36.217
운수업,1984,36.704
운수업,1983,36.551
운수업,1982,36.119
운수업,1980,27.61
운수업,1979,21.934
운수업,1978,17.531
운수업,1977,14.411
운수업,1976,11.815
운수업,1975,9.81
운수업,1974,8.513
운수업,1973,6.954
운수업,1972,6.105
운수업,1971,5.327
운수업,1970,4.86
운수업,1963,2.377
운수업,1962,2.431
운수업,1961,2.214
운수업,1960,1.746
운수업,1959,1.732
운수업,1958,1.675
운수업,1957,1.653
운수업,1956,1.013
운수업,1954,0.563
운수업,1953,0.393
도소매 및 숙박음식업,2022,102.98
도소매 및 숙박음식업,2022,104.865
도소매 및 숙박음식업,2021,103.574
도소매 및 숙박음식업,2021,107.176
도소매 및 숙박음식업,2021,100.096
도소매 및 숙박음식업,2021,103.75
도소매 및 숙박음식업,2020,102.133
도소매 및 숙박음식업,2020,105.036
도소매 및 숙박음식업,2020,98.773
도소매 및 숙박음식업,2020,102.351
도소매 및 숙박음식업,2019,101.23
도소매 및 숙박음식업,2019,105.511
도소매 및 숙박음식업,2019,101.084
도소매 및 숙박음식업,2019,105.869
운수업,1981,35.217
도소매 및 숙박음식업,2018,101.969
도소매 및 숙박음식업,2018,106.044
도소매 및 숙박음식업,2018,101.882
도소매 및 숙박음식업,2018,108.812
도소매 및 숙박음식업,2017,102.533
도소매 및 숙박음식업,2017,107.641
도소매 및 숙박음식업,2017,101.931
도소매 및 숙박음식업,2017,105.718
도소매 및 숙박음식업,2016,101.145
운수업,1955,0.929
도소매 및 숙박음식업,1959,0.436
도소매 및 숙박음식업,1958,0.415
도소매 및 숙박음식업,1957,0.438
도소매 및 숙박음식업,1956,0.434
도소매 및 숙박음식업,1955,0.338
도소매 및 숙박음식업,1954,0.217
도소매 및 숙박음식업,1953,0.164
건설업,2022,121.773
건설업,2022,126.577
건설업,2021,130.775
건설업,2021,125.423
건설업,2021,118.287
건설업,2021,121.433
건설업,2020,123.871
건설업,2020,114.971
건설업,2020,118.336
건설업,2019,122.139
건설업,2019,118.898
건설업,2019,112.229
건설업,2019,115.332
건설업,2018,117.782
건설업,2018,114.225
건설업,2018,107.44
건설업,2017,111.727
건설업,2017,108.31
건설업,2017,101.91
건설업,2017,106.589
건설업,2016,106.752
건설업,2016,102.658
건설업,2016,97.198
건설업,2016,104.098
건설업,2015,104.034
건설업,2013,94.977
건설업,2013,91.653
건설업,2013,86.995
건설업,2013,89.695
건설업,2012,87.497
건설업,2012,83.604
건설업,2012,87.873
건설업,2011,87.976
건설업,2011,84.435
건설업,2011,80.028
건설업,2011,81.111
건설업,2010,82.913
건설업,2010,80.619
건설업,2010,76.467
건설업,2010,78.215
건설업,2009,79.82
건설업,2009,79.225
건설업,2009,76.991
건설업,2009,77.314
건설업,2008,79.181
건설업,2008,77.85
건설업,2008,75.257
건설업,2008,77.311
건설업,2007,77.533
건설업,2007,76.501
건설업,2007,74.243
건설업,2007,75.022
건설업,2006,74.739
건설업,2006,74.01
건설업,2006,72.097
건설업,2006,72.761
건설업,2005,73.399
건설업,2005,72.88
건설업,2005,71.372
건설업,2005,72.195
건설업,2004,71.733
건설업,2004,70.706
건설업,2004,69.863
건설업,2004,69.315
건설업,2003,69.656
건설업,2003,68.383
건설업,2003,67.129
건설업,2003,65.984
건설업,2002,63.732
건설업,2002,62.027
건설업,2002,60.886
건설업,2002,59.37
건설업,2001,58.885
건설업,2001,58.024
건설업,2001,57.365
건설업,2001,56.1
건설업,1996,50.852
건설업,1996,49.393
건설업,1996,48.581
건설업,1995,47.879
건설업,1995,48.007
건설업,1995,45.953
건설업,1995,45.02
건설업,1994,45.242
건설업,1994,43.153
건설업,1994,41.353
건설업,1994,40.174
건설업,1993,42.235
도소매 및 숙박음식업,1983,26.221
도소매 및 숙박음식업,1983,25.745
도소매 및 숙박음식업,1982,26.31
도소매 및 숙박음식업,1982,25.446
도소매 및 숙박음식업,1982,25.189
도소매 및 숙박음식업,1982,24.833
도소매 및 숙박음식업,1981,25.509
도소매 및 숙박음식업,1981,24.395
도소매 및 숙박음식업,1981,23.409
도소매 및 숙박음식업,1981,22.356
도소매 및 숙박음식업,1980,22.467
도소매 및 숙박음식업,1980,20.425
도소매 및 숙박음식업,1980,19.838
도소매 및 숙박음식업,1980,18.547
도소매 및 숙박음식업,1979,18.469
도소매 및 숙박음식업,1979,17.403
도소매 및 숙박음식업,1979,16.598
도소매 및 숙박음식업,1979,15.772
도소매 및 숙박음식업,1978,15.784
도소매 및 숙박음식업,1978,15.077
도소매 및 숙박음식업,1978,13.915
도소매 및 숙박음식업,1978,13.084
도소매 및 숙박음식업,1977,12.583
도소매 및 숙박음식업,1977,12.097
도소매 및 숙박음식업,1977,11.659
도소매 및 숙박음식업,1977,11.458
도소매 및 숙박음식업,1976,10.908
도소매 및 숙박음식업,1976,11.22
도소매 및 숙박음식업,1976,10.45
도소매 및 숙박음식업,1976,9.7
도소매 및 숙박음식업,1975,9.242
도소매 및 숙박음식업,1975,9.717
도소매 및 숙박음식업,1975,8.897
도소매 및 숙박음식업,1975,8.25
도소매 및 숙박음식업,1974,9.416
도소매 및 숙박음식업,1974,8.059
도소매 및 숙박음식업,1974,7.229
도소매 및 숙박음식업,1974,7.029
도소매 및 숙박음식업,1973,6.164
도소매 및 숙박음식업,1973,5.754
도소매 및 숙박음식업,1973,5.187
도소매 및 숙박음식업,1973,5.078
도소매 및 숙박음식업,1972,5.248
도소매 및 숙박음식업,1972,5.021
도소매 및 숙박음식업,1972,4.202
도소매 및 숙박음식업,1972,3.473
도소매 및 숙박음식업,1971,3.825
도소매 및 숙박음식업,1971,4.151
도소매 및 숙박음식업,1971,3.727
도소매 및 숙박음식업,1971,3.321
도소매 및 숙박음식업,1970,3.309
도소매 및 숙박음식업,1970,3.601
도소매 및 숙박음식업,1970,3.269
도소매 및 숙박음식업,1970,2.726
도소매 및 숙박음식업,1969,3.184
도소매 및 숙박음식업,1969,3.277
도소매 및 숙박음식업,1969,3.165
도소매 및 숙박음식업,1969,2.495
도소매 및 숙박음식업,1968,2.609
도소매 및 숙박음식업,1968,2.763
도소매 및 숙박음식업,1968,2.623
도소매 및 숙박음식업,1968,2.106
도소매 및 숙박음식업,1967,2.569
도소매 및 숙박음식업,1967,2.667
도소매 및 숙박음식업,1967,1.986
도소매 및 숙박음식업,1966,2.181
도소매 및 숙박음식업,1966,2.336
도소매 및 숙박음식업,1966,2.166
도소매 및 숙박음식업,1966,1.789
도소매 및 숙박음식업,1965,1.767
도소매 및 숙박음식업,1965,1.943
도소매 및 숙박음식업,1965,1.822
도소매 및 숙박음식업,1965,1.374
도소매 및 숙박음식업,1964,1.384
도소매 및 숙박음식업,1964,1.557
도소매 및 숙박음식업,1964,1.416
도소매 및 숙박음식업,1964,0.941
도소매 및 숙박음식업,1963,0.958
도소매 및 숙박음식업,1963,0.972
도소매 및 숙박음식업,1963,0.832
도소매 및 숙박음식업,1963,0.683
도소매 및 숙박음식업,1962,0.589
도소매 및 숙박음식업,1962,0.667
도소매 및 숙박음식업,1962,0.63
도소매 및 숙박음식업,1962,0.477
건설업,1993,41.079
건설업,1993,39.851
건설업,1993,38.724
건설업,1992,40.09
건설업,1992,37.678
건설업,1992,36.85
건설업,1991,38.461
건설업,1991,36.007
건설업,1991,33.62
건설업,1991,31.804
건설업,1990,33.352
건설업,1990,30.865
건설업,1990,27.898
건설업,1990,26.426
건설업,1989,26.347
건설업,1989,22.943
건설업,1989,21.039
건설업,1989,21.605
건설업,1988,21.647
건설업,1988,20.751
건설업,1988,18.494
건설업,1988,17.712
건설업,1987,19.595
건설업,1987,16.895
건설업,1987,15.673
건설업,1987,15.726
건설업,1986,16.616
건설업,1986,15.406
건설업,1986,14.841
건설업,1985,16.508
건설업,1985,15.259
건설업,1985,14.535
정보통신업,2010,95.373
정보통신업,2010,93.456
정보통신업,2009,94.836
정보통신업,2009,95.692
정보통신업,2009,95.409
정보통신업,2009,94.907
정보통신업,2008,94.118
정보통신업,2008,93.32
정보통신업,2008,94.12
정보통신업,2008,94.288
정보통신업,2007,95.172
정보통신업,2007,94.969
정보통신업,2007,95.82
정보통신업,2006,95.316
정보통신업,2006,95.122
정보통신업,2006,95.137
정보통신업,2006,95.207
정보통신업,2005,96.019
정보통신업,2005,95.801
정보통신업,2005,95.76
정보통신업,2005,95.507
정보통신업,2004,94.997
정보통신업,2004,95.63
정보통신업,2004,95.918
정보통신업,2004,96.445
정보통신업,2003,99.389
정보통신업,2003,99.456
정보통신업,2003,100.92
정보통신업,2003,103.683
정보통신업,2002,101.672
정보통신업,2002,100.034
정보통신업,2002,102.178
정보통신업,2002,103.877
정보통신업,2001,102.73
정보통신업,2001,100.688
정보통신업,2001,101.842
정보통신업,2001,102.038
정보통신업,2000,100.307
정보통신업,2000,98.847
정보통신업,2000,102.652
정보통신업,2000,105.737
정보통신업,1999,116.793
정보통신업,1999,114.718
정보통신업,1999,109.568
정보통신업,1999,105.138
정보통신업,1998,120.264
정보통신업,1998,121.803
정보통신업,1998,111.795
정보통신업,1997,122.287
정보통신업,1997,121.637
정보통신업,1997,110.342
정보통신업,1997,108.063
정보통신업,1996,125.859
정보통신업,1996,112.652
정보통신업,1996,108.493
정보통신업,1995,118.023
정보통신업,1995,116.323
정보통신업,1995,108.975
정보통신업,1995,104.413
정보통신업,1994,112.901
정보통신업,1998,107.042
정보통신업,1994,109.633
정보통신업,1994,104.27
도소매 및 숙박음식업,1993,52.701
도소매 및 숙박음식업,1993,49.461
도소매 및 숙박음식업,1993,50.44
도소매 및 숙박음식업,1992,50.415
도소매 및 숙박음식업,1992,48.621
도소매 및 숙박음식업,1992,47.732
도소매 및 숙박음식업,1992,48.686
도소매 및 숙박음식업,1991,47.59
도소매 및 숙박음식업,1991,45.977
도소매 및 숙박음식업,1991,44.52
도소매 및 숙박음식업,1991,45.458
도소매 및 숙박음식업,1990,44.417
도소매 및 숙박음식업,1990,42.683
도소매 및 숙박음식업,1990,40.967
도소매 및 숙박음식업,1990,40.933
도소매 및 숙박음식업,1989,40.81
도소매 및 숙박음식업,1989,39.463
도소매 및 숙박음식업,1989,37.873
도소매 및 숙박음식업,1989,38.469
도소매 및 숙박음식업,1988,39.295
도소매 및 숙박음식업,1988,38.711
도소매 및 숙박음식업,1988,37.372
도소매 및 숙박음식업,1988,38.057
도소매 및 숙박음식업,1987,39.101
도소매 및 숙박음식업,1987,36.861
도소매 및 숙박음식업,1987,36.179
도소매 및 숙박음식업,1987,36.152
도소매 및 숙박음식업,1986,35.605
도소매 및 숙박음식업,1986,33.223
도소매 및 숙박음식업,1986,34.284
도소매 및 숙박음식업,1986,33.615
도소매 및 숙박음식업,1985,33.893
도소매 및 숙박음식업,1985,31.769
도소매 및 숙박음식업,1985,30.308
도소매 및 숙박음식업,1985,30.401
도소매 및 숙박음식업,1984,32.265
도소매 및 숙박음식업,1984,30.378
도소매 및 숙박음식업,1984,28.509
도소매 및 숙박음식업,1984,27.845
도소매 및 숙박음식업,1983,28.765
도소매 및 숙박음식업,1983,26.767
건설업,2015,100.241
건설업,2015,96.573
건설업,2015,97.982
건설업,2014,99.698
건설업,2014,95.158
건설업,2014,89.925
건설업,2014,92.959
정보통신업,1994,101.066
정보통신업,1993,109.589
정보통신업,1993,105.494
정보통신업,1993,103.382
정보통신업,1993,98.895
정보통신업,1992,108.372
정보통신업,1992,104.642
정보통신업,1992,100.708
정보통신업,1992,95.446
정보통신업,1991,107.131
(서비스),2002,84.771
(서비스),2002,86.043
(서비스),2002,86.791
(서비스),2002,87.354
(서비스),2001,86.257
(서비스),2001,94.138
(서비스),2001,94.223
정보통신업,1991,103.813
정보통신업,1991,98.904
정보통신업,1991,94.477
정보통신업,1990,101.271
정보통신업,1990,100.62
정보통신업,1990,97.265
정보통신업,1990,91.683
정보통신업,1989,95.23
정보통신업,1989,96.671
정보통신업,1989,93.738
정보통신업,1989,86.374
정보통신업,1988,96.444
정보통신업,1988,98.301
정보통신업,1988,94.48
정보통신업,1988,86.882
정보통신업,1987,93.575
정보통신업,1987,96.816
정보통신업,1987,92.876
정보통신업,1987,86.691
정보통신업,1986,94.889
정보통신업,1986,92.14
정보통신업,1986,88.376
정보통신업,1986,81.024
정보통신업,1985,90.357
정보통신업,1985,86.73
정보통신업,1985,79.596
정보통신업,1984,88.125
정보통신업,1984,87.177
정보통???업,1984,83.426
정보통신업,1984,76.143
정보통신업,1983,90.877
정보통신업,1983,90.378
정보통신업,1983,84.379
정보통신업,1983,75.874
정보통신업,1982,83.873
정보통신업,1982,89.29
정보통신업,1982,82.565
정보통신업,1982,73.123
정보통신업,1981,72.511
정보통신업,1981,69.285
정보통신업,1981,59.208
정보통신업,1981,50.065
정보통신업,1980,54.559
정보통신업,1980,53.797
정보통신업,1980,51.766
정보통신업,1980,41.396
정보통신업,1979,42.634
정보통신업,1979,43.041
정보통신업,1979,41.842
정보통신업,1978,41.237
정보통신업,1978,41.286
정보통신업,1978,40.237
정보통신업,1978,37.128
정보통신업,1977,37.697
정보통신업,1977,37.125
정보통신업,1977,36.17
정보통신업,1977,33.758
정보통신업,1976,32.607
정보통신업,1976,32.009
정보통신업,1976,30.874
정보통신업,1976,28.965
정보통신업,1975,27.699
정보통신업,1975,27.355
정보통신업,1975,26.171
정보통신업,1975,24.257
정보통신업,1974,19.868
정보통신업,1974,19.193
정보통신업,1974,18.872
정보통신업,1974,16.988
정보통신업,1973,17.973
정보통신업,1973,17.029
정보통신업,1973,16.814
정보통신업,1973,15.272
정보통신업,1972,15.641
정보통신업,1972,15.913
정보통신업,1972,15.734
정보통신업,1972,14.591
정보통신업,1971,13.888
정보통신업,1971,16.025
정보통신업,1971,14.934
정보통신업,1971,13.786
정보통신업,1970,13.615
정보통신업,1970,13.881
정보통신업,1970,13.619
정보통신업,1970,12.623
정보통신업,1969,13.462
정보통신업,1969,12.551
정보통신업,1969,13.263
건설업,1985,14.399
건설업,1984,16.236
건설업,1984,15.066
건설업,1982,15.476
건설업,1982,14.465
건설업,1982,13.797
건설업,1982,13.877
건설업,1981,14.626
건설업,1981,13.568
건설업,1981,13.064
건설업,1981,12.501
건설업,1980,13.032
건설업,1980,11.753
건설업,1980,11.09
건설업,1980,10.577
건설업,1979,10.347
건설업,1979,9.74
건설업,1979,9.368
건설업,1979,9.006
건설업,1978,8.474
건설업,1978,7.382
건설업,1978,6.512
(재화)F.O.B 기준,1987,92.63
(재화)F.O.B 기준,1987,96.679
(재화)F.O.B 기준,1986,92.896
(재화)F.O.B 기준,1986,89.07
정보통신업,2021,104.816
정보통신업,2021,110.155
정보통신업,2020,98.314
정보통신업,2019,102.535
정보통신업,2019,99.383
정보통신업,2019,101.048
정보통신업,2019,97.469
정보통신업,2018,102.053
정보통신업,2018,99.104
정보통신업,2018,100.852
정보통신업,2018,99.262
정??통신업,2017,101.871
정보통신업,2017,100.505
정보통신업,2017,102.223
정보통신업,2017,100.037
정보통신업,2016,101.866
정보통신업,2016,101.204
정보통신업,2016,101.945
정보통신업,2016,100.05
정보통신업,2015,98.57
정보통신업,2015,99.669
정보통신업,2015,102.334
정보통신업,2015,99.682
정보통신업,2014,97.276
정보통신업,2014,97.011
정보통신업,2014,96.546
정보통신업,2014,93.357
정보통신업,2013,93.935
정보통신업,2011,92.747
정보통신업,2011,93.794
정보통신업,2011,92.776
정보통신업,2010,94.593
정보통신업,2010,95.268
정보통신업,1969,10.439
정보통신업,1968,11.921
정보통신업,1968,11.419
정보통신업,1968,11.864
정보통신업,1968,9.743
정보통신업,1967,11.051
정보통신업,1967,10.523
정보통신업,1967,10.13
정보통신업,1967,8.399
정보통신업,1966,10.881
정보통신업,1966,9.825
정보통신업,1966,9.743
정보통신업,1966,8.417
정보통신업,1965,7.073
"전기, 가스 및 수도사업",1995,53.166
"전기, 가스 및 수도사업",1995,53.549
"전기, 가스 및 수도사업",1994,53.893
"전기, 가스 및 수도사업",1994,57.599
"전기, 가스 및 수도사업",1994,52.472
"전기, 가스 및 수도사업",1994,50.143
"전기, 가스 및 수도사업",1993,53.545
"전기, 가스 및 수도사업",1993,53.463
"전기, 가스 및 수도사업",1993,50.264
"전기, 가스 및 수도사업",1993,50.668
"전기, 가스 및 수도사업",1992,49.876
"전기, 가스 및 수도사업",1992,52.242
"전기, 가스 및 수도사업",1992,49.317
"전기, 가스 및 수도사업",1992,47.905
"전기, 가스 및 수도사업",1991,46.347
"전기, 가스 및 수도사업",1991,48.638
"전기, 가스 및 수도사업",1991,46.124
"전기, 가스 및 수도사업",1991,41.805
"전기, 가스 및 수도사업",1990,42.791
"전기, 가스 및 수도사업",1990,42.664
"전기, 가스 및 수도사업",1990,43.72
"전기, 가스 및 수도사업",1990,45.677
"전기, 가스 및 수도사업",1989,48.254
"전기, 가스 및 수도사업",1989,46.04
"전기, 가스 및 수도사업",1989,50.863
"??기, 가스 및 수도사업",1989,52.151
"전기, 가스 및 수도사업",1988,53.609
"전기, 가스 및 수도사업",1988,49.311
"전기, 가스 및 수도사업",1988,52.078
"전기, 가스 및 수도사업",1988,55.45
"전기, 가스 및 수도사업",1987,54.1
"전기, 가스 및 수도사업",1987,51.098
"전기, 가스 및 수도사업",1987,55.264
"전기, 가스 및 수도사업",1987,57.992
"전기, 가스 및 수도사업",1986,56.331
"전기, 가스 및 수도사업",1986,52.384
"전기, 가스 및 수도사업",1986,55.803
"전기, 가스 및 수도사업",1986,59.395
"전기, 가스 및 수도사업",1985,52.541
"전기, 가스 및 수도사업",1985,53.114
"전기, 가스 및 수도사업",1985,55.541
"전기, 가스 및 수도사업",1985,58.569
"전기, 가스 및 수도사업",1984,58.936
"전기, 가스 및 수도사업",1984,55.066
"전기, 가스 및 수도사업",1984,57.712
"전기, 가스 및 수도사업",1984,59.529
"전기, 가스 및 수도사업",1983,58.709
"전기, 가스 및 수도사업",1983,54.112
"전기, 가스 및 수도사업",1983,57.393
"전기, 가스 및 수도사업",1983,60.54
"전기, 가스 및 수도사업",1982,58.776
"전기, 가스 및 수도사업",1982,53.885
"전기, 가스 및 수도사업",1982,57.183
"전기, 가스 및 수도사업",1982,59.87
"전기, 가스 및 수도사업",1981,55.206
"전기, 가스 및 수도사업",1981,49.678
"전기, 가스 및 수도사업",1981,50.015
"전기, 가스 및 수도사업",1981,49.26
"전기, 가스 및 수도사업",1980,47.494
"전기, 가스 및 수도사업",1980,40.551
"전기, 가스 및 수도사업",1980,43.686
"전기, 가스 및 수도사업",1980,40.687
"전기, 가스 및 수도사업",1979,33.58
"전기, 가스 및 수도사업",1979,35.373
"전기, 가스 및 수도사업",1979,29.731
"전기, 가스 및 수도사업",1979,27.772
"전기, 가스 및 수도사업",1978,22.87
"전기, 가스 및 수도사업",1978,18.531
"전기, 가스 및 수도사업",1978,19.887
"전기, 가스 및 수도사업",1978,20.882
"전기, 가스 및 수도사업",1977,20.995
"전기, 가스 및 수도사업",1977,19.031
"전기, 가스 및 수도사업",1977,22.16
"전기, 가스 및 수도사업",1977,22.446
"전기, 가스 및 수도사업",1976,14.577
"전기, 가스 및 수도사업",1976,15.015
"전기, 가스 및 수도사업",1976,16.343
"전기, 가스 및 수도사업",1976,15.403
"전기, 가스 및 수도사업",1975,12.602
"전기, 가스 및 수도사업",1975,12.751
"전기, 가스 및 수도사업",1975,12.264
"전기, 가스 및 수도사업",1975,12.194
"전기, 가스 및 수도사업",1974,5.208
"전기, 가스 및 수도사업",1974,6.298
"전기, 가스 및 수도사업",1974,7.189
"전기, 가스 및 수도사업",1974,8.906
"전기, 가스 및 수도사업",1973,8.542
"전기, 가스 및 수도사업",1973,8.6
"전기, 가스 및 수도사업",1973,9.696
"전기, 가스 및 수도사업",1973,10.268
"전기, 가스 및 수도사업",1972,10.922
"전기, 가스 및 수도사업",1972,8.968
"전기, 가스 및 수도사업",1972,8.897
"전기, 가스 및 수도사업",1972,9.36
"전기, 가스 및 수도사업",1971,8.755
"전기, 가스 및 수도사업",1971,7.2
"전기, 가스 및 수도사업",1971,8.196
"전기, 가스 및 수도사업",1971,7.931
